Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
130170405000068,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704004,São Sebastião,1,0,27,124,4.59,4.02,869.63,1122665.24,1067.27,1168982.68,345.19,463278.81,823.75,717107.12,NA
130170405000069,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704013,Nova Esperança,1,0,103,463,4.5,5.1,582.02,331020.14,651.61,325190.28,301.4,226298.27,568.35,275289.22,NA
130170405000070,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,25,127,5.08,10.24,463.84,99581.31,552.19,68271.96,229.77,105618.74,543.61,78615.24,NA
130170405000071,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704003,São Pedro,1,0,113,454,4.02,4.8,913.54,3205073.09,1110,3681386.98,441.72,1246679.89,908.26,2144701.53,NA
130170405000072,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704003,São Pedro,1,0,105,409,3.9,3.83,1547.42,6887993.9,1710.31,7339210.38,795.26,4000197.59,1513.56,6539744.37,NA
130170405000073,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,388,1688,4.35,5.02,929.34,1425641.23,1027.3,1475425.35,450.16,743305.67,787.03,1034814.07,NA
130170405000074,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,159,494,3.11,3.64,2354.05,6570681.19,2692.76,6604272.86,1200.28,5794766.95,2085.73,8232767.88,NA
130170405000075,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704002,Nova Humaitá,1,0,24,123,5.13,6.03,488.88,164367.77,651.83,109909.91,224.03,109591.31,548.29,89905.45,NA
130170405000076,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704012,Divino Pranto,1,0,48,181,3.77,3.41,2202.44,3208342.76,2298.2,3125974.34,947.93,2118688.35,1710.9,2523544.11,NA
130170405000077,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704001,São Domingos Sávio,1,0,142,621,4.37,5.19,821.21,1130930.62,1089.83,1208838.14,418.08,579854.71,896.41,815519.23,NA
130170405000078,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704001,São Domingos Sávio,1,0,190,941,4.95,9,673.04,569591.41,739.17,576717.62,370.31,384496.56,695.62,496261.66,NA
